Req_ID,File_ID,File_Size
171248293,1674185,3629
171248602,6408056,147
171251109,1674185,3629
171251385,1674185,3629
171252599,9818454,2622
171253003,2897514,1417
171253337,1674185,3629
171253496,2778357,122
171253982,1674185,3629
171254580,13600887,287
171254767,13858402,14659
171254786,6408056,147
171254908,9149427,654
171255901,9929662,671
171258536,10778380,26507
171258821,6408056,147
171259669,1674185,3629
171261796,7405732,1564
171261975,7405732,1564
171262518,4252232,8496
171262673,12161907,1105
171262723,1674185,3629
171262763,6408056,147
171263337,6408056,147
171264777,11375597,11953
171265929,653559 4,60
171267697,1674185,3629
171268382,6408056,147
171269474,6408056,147
171270516,4781590,509
171272031,7642326,17415
171272302,7040763,684
171275605,10663309,15536
171276233,8600424,26683
171276325,8735452,2985
171276728,1674185,3629
171276836,12998347,215
171276952,11189123,560
171277671,733964 4,86
171278196,4781590,509
171278368,9929662,671
171280000,4749342,31459
171281002,2759864,5905
171281537,955491 3,53
171283245,1674185,3629
171284116,6408056,147
171285156,6408056,147
171285453,3285482,1131
171285637,3793473,12247
171285960,10896828,519
171286587,8027186,13502
171287084,6408056,147
171287350,7127517,23319
171287601,7152772,3696
171288146,3478839,303
171288435,10542230,319
171288920,1699425,2479
171289400,2897514,1417
171289813,2886392,14249
171289851,9929662,671
171291016,9742976,1715
171291069,3543825,12172
171292065,2778357,122
171292675,9843126,8930
171293458,7405732,1564
171294199,1674185,3629
171294384,13979121,73083
171294513,1674185,3629
171294671,8448476,8341
171294767,13979121,73083
171295051,3920523,26770
171295229,1674185,3629
171298662,12434132,19517
171299133,7956195,350
171299443,7405732,1564
171299741,6408056,147
171300042,6408056,147
171300104,13588717,24755
171301643,2976119,8945
171301731,6954699,3677
171302306,6408056,147
171303472,7502749,49084
171304998,1661128,7740
171305259,10902754,12166
171305875,7405732,1564
171306477,7622199,140
171307280,6408056,147
171307830,1674185,3629
171307869,8977851,314
171308538,9742976,1715
171308590,4707105,1995
171308980,8027186,13502
171310331,2133597,16615
